IP00260,0.005,0.0055
IP00028,0.03,0.05
IP00080,0.03,0.05
IP00032,0.025,0.05
IP00118,0.025,0.05
IP00046,0.05,0.06
IP00035,0.05,0.06
IP00051,0.05,0.06
IP00053,0.05,0.06
IP00065,0.05,0.06
IP00084,0.05,0.06
IP00086,0.05,0.06
IP00199,0.05,0.06
IP00302,0.05,0.06
IP00274,0.05,0.06
IP00024,0.07,0.09
IP00075,0.08,0.09
IP00230,0.05,0.1
IP00073,0.08,0.1
IP00242,0.1,0.12
IP00225,0.08,0.12
IP00058,0.1,0.14
IP00069,0.15,0.15
IP00205,0.11,0.15
IP00169,0.11,0.15
IP00286,0.11,0.15
IP00052,0.13,0.15
IP00183,0.13,0.15
IP00297,0.11,0.15
IP00042,0.12,0.15
IP00047,0.12,0.15
IP00233,0.1,0.15
IP00056,0.12,0.16
IP00117,0.12,0.16
IP00195,0.12,0.16
IP00257,0.15,0.17
IP00064,0.15,0.17
IP00189,0.11,0.18
IP00190,0.11,0.18
IP00034,0.15,0.18
IP00037,0.14,0.18
IP00193,0.15,0.19
IP00194,0.18,0.2
IP00218,0.18,0.2
IP00232,0.1,0.2
IP00089,0.15,0.2
IP00175,0.15,0.2
IP00229,0.2,0.25
IP00036,0.2,0.25
IP00050,0.2,0.25
IP00234,0.2,0.25
IP00054,0.2,0.25
IP00282,0.25,0.29
IP00114,0.25,0.29
IP00021,0.29,0.31
IP00083,0.25,0.33
IP00276,0.25,0.33
IP00187,0.37,0.4
IP00236,0.6,0.65
IP00258,0.76,0.78
IP00280,0.76,0.78
IP00077,0.76,0.78
IP00288,0.76,0.78
IP00300,0.72,0.78